status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
580 € - 2900 €,12,existing credits paid back duly till now,car (new),6621.22986149103,< 580 €,... < 1 year,3,female : divorced/separated/married,none,1,car or other,25,none,rent,1,skilled employee/official,1,no,yes,0
< 580 €,48,existing credits paid back duly till now,others,22026.454241933094,< 580 €,... < 1 year,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,skilled employee/official,1,no,yes,0
580 € - 2900 €,12,existing credits paid back duly till now,domestic appliances,8011.943778344744,< 580 €,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,car or other,22,none,own,1,skilled employee/official,1,yes,yes,1
< 580 €,24,critical account/other credits existing,car (new),6130.389655542659,< 580 €,... >= 7 years,4,male : single,none,4,car or other,60,none,own,2,unskilled - resident,1,no,yes,0
< 580 €,15,existing credits paid back duly till now,car (new),7173.425093182946,< 580 €,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee/official,1,no,yes,1
< 580 €,24,existing credits paid back duly till now,domestic appliances,6554.761916935521,580 € - 2900 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,32,none,own,1,unskilled - resident,1,no,yes,0
kein Konto,24,critical account/other credits existing,domestic appliances,12393.715200196337,unbekannt,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,53,none,own,2,skilled employee/official,1,no,yes,1
< 580 €,30,no credits taken/all credits paid back duly,others,41271.48065015876,unbekannt,... < 1 year,2,male : single,none,3,car or other,25,bank,own,3,skilled employee/official,1,no,yes,1
580 € - 2900 €,24,existing credits paid back duly till now,car (used),64315.40573567232,< 580 €,... >= 7 years,4,female : divorced/separated/married,none,2,unknown/no property,44,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
kein Konto,24,existing credits paid back duly till now,domestic appliances,17537.311525030294,2800 € - 5000 €,... >= 7 years,3,male : single,none,2,car or other,31,none,own,1,skilled employee/official,2,yes,yes,1
kein Konto,9,critical account/other credits existing,car (new),10910.968744727303,< 580 €,1 <= ... < 4 years,4,male : single,none,4,car or other,48,none,own,3,skilled employee/official,1,yes,yes,1
< 580 €,6,existing credits paid back duly till now,domestic appliances,13533.896095263903,2800 € - 5000 €,1 <= ... < 4 years,2,male : single,none,3,real estate,44,none,rent,1,skilled employee/official,2,no,yes,1
< 580 €,10,critical account/other credits existing,car (new),11458.051057607256,< 580 €,... < 1 year,1,male : single,none,3,real estate,48,none,rent,2,unskilled - resident,2,no,no,1
580 € - 2900 €,12,critical account/other credits existing,car (used),9223.705536779782,580 € - 2900 €,... < 1 year,3,male : single,none,4,building society savings agreement/life insurance,44,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,10,critical account/other credits existing,radio/television,10578.62902194976,unbekannt,1 <= ... < 4 years,2,male : married/widowed,none,1,car or other,26,none,own,2,skilled employee/official,1,no,no,1
< 580 €,6,existing credits paid back duly till now,radio/television,7025.150447636042,< 580 €,1 <= ... < 4 years,1,male : single,none,2,real estate,36,bank,own,1,unskilled - resident,1,yes,yes,1
kein Konto,6,no credits taken/all credits paid back duly,domestic appliances,2178.1034138958908,< 580 €,... >= 7 years,4,male : married/widowed,none,4,car or other,39,none,own,1,unskilled - resident,1,no,yes,1
>= 2900 € / Gehalt seit 1 Jahr,12,all credits at this bank paid back duly,domestic appliances,2091.183794092534,>= 5000 €,1 <= ... < 4 years,3,female : divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee/official,1,no,yes,1
580 € - 2900 €,7,existing credits paid back duly till now,domestic appliances,12347.698930888677,< 580 €,1 <= ... < 4 years,3,male : single,guarantor,2,real estate,34,none,own,1,skilled employee/official,1,no,yes,1
< 580 €,60,delay in paying off in the past,others,34951.9129985735,< 580 €,... >= 7 years,3,male : single,none,4,unknown/no property,63,none,own,2,skilled employee/official,1,yes,yes,0
580 € - 2900 €,18,existing credits paid back duly till now,others,9781.01368728366,>= 5000 €,... < 1 year,3,male : married/widowed,none,3,real estate,36,bank,own,1,skilled employee/official,1,yes,yes,1
< 580 €,24,existing credits paid back duly till now,radio/television,20553.933624087986,< 580 €,1 <= ... < 4 years,2,male : single,none,2,car or other,27,stores,own,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,18,existing credits paid back duly till now,car (new),29992.381750970177,580 € - 2900 €,1 <= ... < 4 years,2,male : single,none,2,car or other,30,none,own,2,skilled employee/official,1,yes,yes,1
kein Konto,12,critical account/other credits existing,others,6462.729378320201,unbekannt,... >= 7 years,4,male : single,none,4,unknown/no property,57,none,rent,1,unskilled - resident,1,no,yes,1
>= 2900 € / Gehalt seit 1 Jahr,12,existing credits paid back duly till now,radio/television,7536.442328832261,< 580 €,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,33,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
580 € - 2900 €,45,critical account/other credits existing,domestic appliances,24265.912681572532,< 580 €,... < 1 year,4,male : single,none,2,building society savings agreement/life insurance,25,none,own,2,unskilled - resident,1,no,yes,0
kein Konto,48,critical account/other credits existing,retraining,31239.933941088948,< 580 €,1 <= ... < 4 years,1,male : single,none,3,unknown/no property,31,bank,for free,1,skilled employee/official,1,yes,yes,1
>= 2900 € / Gehalt seit 1 Jahr,18,existing credits paid back duly till now,domestic appliances,10737.129505120589,< 580 €,1 <= ... < 4 years,4,male : single,co-applicant,2,real estate,37,stores,own,1,skilled employee/official,1,no,yes,0
>= 2900 € / Gehalt seit 1 Jahr,10,existing credits paid back duly till now,repairs,6263.325544653677,< 580 €,1 <= ... < 4 years,2,male : single,none,2,car or other,37,none,own,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,9,existing credits paid back duly till now,domestic appliances,2341.716815878681,< 580 €,1 <= ... < 4 years,4,male : single,none,3,real estate,24,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,30,existing credits paid back duly till now,domestic appliances,11928.439588307778,2800 € - 5000 €,... >= 7 years,4,male : single,none,2,car or other,30,bank,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,1
580 € - 2900 €,12,existing credits paid back duly till now,domestic appliances,5920.7599842522095,2800 € - 5000 €,1 <= ... < 4 years,3,male : divorced/separated,none,1,car or other,26,none,own,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,18,delay in paying off in the past,education,31720.548309413392,< 580 €,1 <= ... < 4 years,2,male : single,none,4,real estate,44,none,own,1,unskilled - resident,2,yes,yes,1
< 580 €,30,critical account/other credits existing,car (used),31633.628689610036,580 € - 2900 €,4 <= ... < 7 years,1,male : married/widowed,none,4,car or other,24,none,rent,2,skilled employee/official,1,no,yes,1
< 580 €,48,critical account/other credits existing,car (used),31408.660261883702,< 580 €,... >= 7 years,4,female : divorced/separated/married,none,4,unknown/no property,58,stores,for free,2,unskilled - resident,1,no,yes,0
kein Konto,11,critical account/other credits existing,car (new),7122.2959050633235,< 580 €,... < 1 year,4,female : divorced/separated/married,none,4,car or other,35,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,1
kein Konto,36,existing credits paid back duly till now,domestic appliances,11754.600348701062,2800 € - 5000 €,... >= 7 years,4,male : single,none,4,car or other,39,none,own,1,skilled employee/official,1,no,yes,1
< 580 €,6,existing credits paid back duly till now,car (used),6912.666233772874,2800 € - 5000 €,unemployed,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,rent,1,unemployed/unskilled - non-resident,1,yes,yes,1
kein Konto,11,critical account/other credits existing,car (new),36956.17717286267,< 580 €,1 <= ... < 4 years,1,male : single,none,4,building society savings agreement/life insurance,39,none,own,2,unskilled - resident,1,no,yes,1
kein Konto,12,existing credits paid back duly till now,domestic appliances,10599.080697197609,580 € - 2900 €,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,24,delay in paying off in the past,radio/television,11928.439588307778,unbekannt,... < 1 year,4,male : single,none,2,building society savings agreement/life insurance,29,bank,own,1,unskilled - resident,1,no,yes,1
580 € - 2900 €,27,delay in paying off in the past,car (used),30498.560713354433,< 580 €,... >= 7 years,1,male : single,none,2,car or other,30,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
kein Konto,12,existing credits paid back duly till now,domestic appliances,6452.503540696278,< 580 €,1 <= ... < 4 years,3,male : single,none,2,car or other,25,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,18,existing credits paid back duly till now,car (used),17271.43974680826,unbekannt,1 <= ... < 4 years,2,male : single,none,1,building society savings agreement/life insurance,31,none,own,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,36,delay in paying off in the past,car (new),11376.244356615862,< 580 €,... >= 7 years,4,male : single,none,4,unknown/no property,57,bank,for free,2,skilled employee/official,1,yes,yes,0
kein Konto,6,all credits at this bank paid back duly,car (new),4003.415429766391,unbekannt,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,26,stores,own,1,unskilled - resident,2,no,yes,1
580 € - 2900 €,12,existing credits paid back duly till now,domestic appliances,33070.35887577141,unbekannt,unemployed,2,male : single,none,1,unknown/no property,52,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
kein Konto,36,critical account/other credits existing,domestic appliances,48910.18135523026,< 580 €,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,31,stores,own,2,skilled employee/official,1,no,yes,1
>= 2900 € / Gehalt seit 1 Jahr,18,existing credits paid back duly till now,car (new),10026.433790257845,< 580 €,... >= 7 years,3,female : divorced/separated/married,none,2,car or other,23,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,1
< 580 €,36,critical account/other credits existing,radio/television,31848.37127971245,< 580 €,... < 1 year,4,female : divorced/separated/married,co-applicant,4,unknown/no property,23,none,rent,2,unskilled - resident,1,yes,yes,0
580 € - 2900 €,9,existing credits paid back duly till now,others,7112.070067439399,< 580 €,1 <= ... < 4 years,2,male : married/widowed,none,1,real estate,27,bank,own,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,15,critical account/other credits existing,domestic appliances,7858.556213985878,unbekannt,... >= 7 years,4,male : single,guarantor,4,real estate,50,none,own,2,skilled employee/official,1,yes,yes,1
580 € - 2900 €,36,no credits taken/all credits paid back duly,others,9985.530439762148,< 580 €,... >= 7 years,4,male : single,none,4,unknown/no property,61,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
580 € - 2900 €,48,no credits taken/all credits paid back duly,others,73733.40218730667,< 580 €,1 <= ... < 4 years,2,male : single,none,2,car or other,25,none,own,1,skilled employee/official,1,yes,yes,0
kein Konto,24,existing credits paid back duly till now,domestic appliances,16264.19474085171,< 580 €,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,yes,yes,1
kein Konto,27,existing credits paid back duly till now,education,26536.04863408374,unbekannt,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,48,none,own,4,skilled employee/official,2,yes,yes,1
kein Konto,12,existing credits paid back duly till now,domestic appliances,11100.146740769904,< 580 €,... < 1 year,2,female : divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,12,existing credits paid back duly till now,car (new),5148.709243645921,>= 5000 €,1 <= ... < 4 years,4,male : married/widowed,none,1,real estate,22,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,36,existing credits paid back duly till now,retraining,9300.399318959215,< 580 €,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,37,stores,for free,1,skilled employee/official,1,yes,yes,0
kein Konto,36,existing credits paid back duly till now,domestic appliances,12240.327635837471,unbekannt,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,25,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,36,existing credits paid back duly till now,car (used),41583.36869768845,< 580 €,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,30,bank,own,1,skilled employee/official,1,no,yes,1
kein Konto,7,critical account/other credits existing,domestic appliances,3732.430732732395,unbekannt,... >= 7 years,4,male : single,none,2,building society savings agreement/life insurance,46,none,rent,2,unskilled - resident,1,yes,yes,1
< 580 €,8,critical account/other credits existing,furniture/equipment,5951.437497123983,< 580 €,... >= 7 years,3,male : single,none,4,unknown/no property,51,bank,for free,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1
580 € - 2900 €,42,critical account/other credits existing,others,30442.31860642285,< 580 €,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled - resident,1,no,yes,1
< 580 €,36,existing credits paid back duly till now,retraining,10108.240491249238,unbekannt,... >= 7 years,4,male : single,none,4,unknown/no property,40,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
< 580 €,12,critical account/other credits existing,car (used),7802.314107054294,< 580 €,... >= 7 years,4,male : single,none,4,unknown/no property,66,none,for free,2,management/self-employed/highly qualified employee/officer,1,no,yes,1
< 580 €,42,existing credits paid back duly till now,domestic appliances,20272.723089430063,< 580 €,... < 1 year,4,male : single,none,3,car or other,34,none,own,1,skilled employee/official,1,no,yes,0
580 € - 2900 €,11,delay in paying off in the past,domestic appliances,24393.735651871582,< 580 €,4 <= ... < 7 years,2,male : single,none,4,building society savings agreement/life insurance,51,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,54,no credits taken/all credits paid back duly,car (used),48245.50190967518,unbekannt,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/life insurance,39,none,own,1,unskilled - resident,2,no,yes,1
580 € - 2900 €,30,existing credits paid back duly till now,radio/television,19592.704887439093,< 580 €,... < 1 year,2,male : married/widowed,none,1,building society savings agreement/life insurance,22,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,24,existing credits paid back duly till now,domestic appliances,30386.076499491264,unbekannt,... < 1 year,1,female : divorced/separated/married,none,1,car or other,44,none,own,2,skilled employee/official,1,yes,yes,0
kein Konto,15,existing credits paid back duly till now,domestic appliances,6201.9705189101305,2800 € - 5000 €,... >= 7 years,4,male : single,none,3,building society savings agreement/life insurance,47,stores,own,1,skilled employee/official,1,yes,yes,1
kein Konto,18,existing credits paid back duly till now,others,8017.056697156706,580 € - 2900 €,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,unskilled - resident,1,no,yes,1
< 580 €,24,existing credits paid back duly till now,furniture/equipment,8973.172514993636,< 580 €,... >= 7 years,4,female : divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,yes,yes,1
< 580 €,10,existing credits paid back duly till now,domestic appliances,11836.40704969246,< 580 €,... >= 7 years,3,male : single,none,4,real estate,52,none,own,1,unskilled - resident,1,no,yes,1
kein Konto,12,critical account/other credits existing,others,7219.441362490606,< 580 €,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
580 € - 2900 €,18,critical account/other credits existing,radio/television,6621.22986149103,< 580 €,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,no,yes,1
580 € - 2900 €,36,existing credits paid back duly till now,retraining,64484.132056467075,580 € - 2900 €,1 <= ... < 4 years,1,male : single,none,4,unknown/no property,47,none,for free,1,skilled employee/official,2,yes,yes,0
< 580 €,18,existing credits paid back duly till now,car (new),11498.954408102954,580 € - 2900 €,4 <= ... < 7 years,4,male : single,none,3,car or other,30,none,own,1,management/self-employed/highly qualified employee/officer,2,yes,yes,1
< 580 €,12,no credits taken/all credits paid back duly,education,5665.114043654101,< 580 €,4 <= ... < 7 years,4,male : single,none,3,real estate,28,none,own,2,skilled employee/official,1,no,yes,0
kein Konto,12,critical account/other credits existing,domestic appliances,3159.7838257926305,< 580 €,... >= 7 years,4,male : single,none,4,real estate,56,none,own,1,skilled employee/official,1,no,yes,1
< 580 €,12,critical account/other credits existing,car (used),7204.102606054719,< 580 €,... >= 7 years,4,male : single,none,3,real estate,54,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,12,critical account/other credits existing,domestic appliances,4074.9962931338614,unbekannt,... >= 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,33,bank,own,1,unskilled - resident,2,no,yes,0
>= 2900 € / Gehalt seit 1 Jahr,24,critical account/other credits existing,radio/television,18493.427342867224,unbekannt,... >= 7 years,4,male : single,co-applicant,4,unknown/no property,20,none,rent,2,skilled employee/official,1,no,yes,1
580 € - 2900 €,12,existing credits paid back duly till now,car (new),6738.82699416616,>= 5000 €,... >= 7 years,4,male : single,none,4,real estate,54,none,own,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,54,no credits taken/all credits paid back duly,others,81525.49045673704,< 580 €,... < 1 year,3,male : single,none,4,unknown/no property,58,none,rent,1,skilled employee/official,1,yes,yes,0
kein Konto,12,critical account/other credits existing,retraining,10287.192649667915,unbekannt,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,car or other,61,none,own,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,18,existing credits paid back duly till now,others,13406.073124964849,580 € - 2900 €,1 <= ... < 4 years,4,male : single,none,4,car or other,34,none,own,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,36,critical account/other credits existing,domestic appliances,11948.891263555626,< 580 €,... >= 7 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,20,delay in paying off in the past,car (used),36081.868056017134,unbekannt,4 <= ... < 7 years,3,male : single,none,4,building society savings agreement/life insurance,36,bank,rent,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1
kein Konto,24,existing credits paid back duly till now,car (new),7510.877734772449,580 € - 2900 €,... >= 7 years,4,male : married/widowed,none,4,real estate,41,none,rent,1,unskilled - resident,1,no,yes,1
580 € - 2900 €,36,existing credits paid back duly till now,domestic appliances,11877.310400188155,< 580 €,4 <= ... < 7 years,4,male : single,none,4,car or other,24,none,rent,1,skilled employee/official,1,no,yes,1
kein Konto,6,delay in paying off in the past,domestic appliances,4765.240332748756,< 580 €,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,9,critical account/other credits existing,radio/television,9811.691200155434,< 580 €,4 <= ... < 7 years,4,male : single,none,3,car or other,35,none,rent,1,skilled employee/official,1,yes,yes,1
kein Konto,12,existing credits paid back duly till now,car (used),12501.086495247542,unbekannt,... < 1 year,2,male : married/widowed,none,4,car or other,26,none,rent,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,24,critical account/other credits existing,furniture/equipment,61038.02477720456,< 580 €,1 <= ... < 4 years,2,male : single,co-applicant,3,car or other,39,none,own,2,management/self-employed/highly qualified employee/officer,2,yes,yes,0
kein Konto,18,all credits at this bank paid back duly,car (new),33019.229687651794,< 580 €,... >= 7 years,2,male : single,none,4,unknown/no property,39,bank,own,2,management/self-employed/highly qualified employee/officer,2,yes,yes,0
580 € - 2900 €,12,existing credits paid back duly till now,car (new),31076.32053910616,< 580 €,4 <= ... < 7 years,2,male : single,none,2,car or other,32,none,own,1,skilled employee/official,1,no,yes,1
< 580 €,24,existing credits paid back duly till now,radio/television,39476.84614716003,unbekannt,... < 1 year,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,30,none,own,1,skilled employee/official,1,yes,no,1
580 € - 2900 €,14,existing credits paid back duly till now,others,7209.215524866681,2800 € - 5000 €,... >= 7 years,1,male : married/widowed,none,2,real estate,35,none,own,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,6,delay in paying off in the past,others,7408.619358533206,580 € - 2900 €,... >= 7 years,1,male : divorced/separated,none,2,car or other,31,bank,own,2,skilled employee/official,2,no,yes,1
>= 2900 € / Gehalt seit 1 Jahr,15,existing credits paid back duly till now,retraining,2004.2641742891765,< 580 €,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,23,none,rent,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,18,existing credits paid back duly till now,car (new),32006.87176288328,< 580 €,4 <= ... < 7 years,3,male : single,none,3,real estate,28,none,rent,1,unskilled - resident,1,no,yes,1
kein Konto,36,critical account/other credits existing,car (new),40161.97726796296,< 580 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee/official,1,yes,yes,0
< 580 €,12,existing credits paid back duly till now,domestic appliances,8589.70360409647,2800 € - 5000 €,... >= 7 years,3,male : married/widowed,none,1,real estate,35,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,48,critical account/other credits existing,domestic appliances,18294.0235092007,unbekannt,... >= 7 years,4,male : single,none,1,real estate,47,none,own,1,skilled employee/official,1,yes,yes,1
< 580 €,42,existing credits paid back duly till now,domestic appliances,36680.07955701672,unbekannt,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,car or other,30,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
< 580 €,10,critical account/other credits existing,radio/television,10900.742907103378,unbekannt,... < 1 year,2,female : divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee/official,1,no,no,1
< 580 €,33,critical account/other credits existing,radio/television,21888.405434010114,2800 € - 5000 €,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,car or other,23,none,own,2,skilled employee/official,1,no,yes,0
580 € - 2900 €,12,critical account/other credits existing,car (new),12097.16590910253,2800 € - 5000 €,4 <= ... < 7 years,3,male : divorced/separated,none,3,car or other,36,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
< 580 €,21,existing credits paid back duly till now,domestic appliances,9382.20601995061,< 580 €,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee/official,1,yes,yes,0
kein Konto,24,critical account/other credits existing,car (used),19776.769964669733,< 580 €,... >= 7 years,4,female : divorced/separated/married,none,2,car or other,41,none,rent,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
kein Konto,12,existing credits paid back duly till now,radio/television,9039.640459549144,< 580 €,1 <= ... < 4 years,3,male : single,none,2,real estate,24,none,rent,1,unskilled - resident,1,no,yes,1
>= 2900 € / Gehalt seit 1 Jahr,10,critical account/other credits existing,car (new),3993.1895921424666,< 580 €,... >= 7 years,4,male : single,none,4,unknown/no property,63,none,for free,2,skilled employee/official,1,yes,yes,1
580 € - 2900 €,18,existing credits paid back duly till now,radio/television,9837.255794215243,unbekannt,... < 1 year,4,female : divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee/official,1,no,yes,0
< 580 €,12,critical account/other credits existing,car (new),10844.500800171794,< 580 €,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/life insurance,30,none,own,2,skilled employee/official,1,no,yes,1
< 580 €,12,existing credits paid back duly till now,domestic appliances,3584.1560871854917,< 580 €,1 <= ... < 4 years,4,male : married/widowed,none,2,real estate,40,none,own,1,unskilled - resident,1,no,yes,1
580 € - 2900 €,12,existing credits paid back duly till now,education,3267.1551208438364,< 580 €,1 <= ... < 4 years,4,male : single,none,2,car or other,30,none,own,1,skilled employee/official,1,no,yes,0
580 € - 2900 €,12,critical account/other credits existing,car (used),9510.028990249664,< 580 €,unemployed,4,male : single,none,2,car or other,34,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
< 580 €,12,critical account/other credits existing,car (new),17890.102923055685,< 580 €,1 <= ... < 4 years,3,female : divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee/official,1,no,yes,0
580 € - 2900 €,48,existing credits paid back duly till now,car (new),43393.34195712306,unbekannt,4 <= ... < 7 years,1,female : divorced/separated/married,none,2,car or other,24,none,own,1,skilled employee/official,1,no,yes,1
< 580 €,36,delay in paying off in the past,retraining,35212.67185798357,< 580 €,1 <= ... < 4 years,4,male : single,none,3,building society savings agreement/life insurance,29,stores,own,1,skilled employee/official,1,yes,yes,0
kein Konto,15,existing credits paid back duly till now,radio/television,13845.784142793598,< 580 €,... < 1 year,2,male : single,none,3,building society savings agreement/life insurance,27,bank,own,2,unskilled - resident,1,no,yes,1
kein Konto,18,existing credits paid back duly till now,radio/television,10144.030922932976,< 580 €,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,47,bank,for free,2,skilled employee/official,1,no,yes,1
kein Konto,60,existing credits paid back duly till now,domestic appliances,51865.448428544405,580 € - 2900 €,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee/official,1,yes,yes,1
kein Konto,12,critical account/other credits existing,domestic appliances,6340.019326833109,unbekannt,... >= 7 years,4,female : divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee/official,1,yes,yes,1
kein Konto,27,delay in paying off in the past,car (used),44037.5697274303,>= 5000 €,1 <= ... < 4 years,2,male : single,none,2,car or other,27,none,own,2,skilled employee/official,1,no,yes,1
580 € - 2900 €,12,existing credits paid back duly till now,domestic appliances,3916.495809963034,2800 € - 5000 €,1 <= ... < 4 years,4,male : single,none,3,real estate,66,none,own,1,unskilled - resident,1,no,yes,0
580 € - 2900 €,15,critical account/other credits existing,domestic appliances,13948.04251903284,unbekannt,4 <= ... < 7 years,4,male : single,guarantor,2,real estate,35,bank,own,3,skilled employee/official,1,yes,yes,1
>= 2900 € / Gehalt seit 1 Jahr,12,existing credits paid back duly till now,domestic appliances,9617.40028530087,< 580 €,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,44,none,rent,1,unskilled - resident,1,yes,yes,1
